Address,"Lat/Lng Geocode"
"Madhupur,India","24.274194,86.639287"
"Tamlūk,India","22.300832,87.925925"
"Bāruipur,India","22.352531,88.438825"
"Dumka,India","24.267785,87.248554"
"Kālīganj,Bangladesh","23.409639,89.138014"
"Pujali,India","22.471097,88.145301"
"Chittaranjan,India","23.856812,86.903241"
"Pāthardih,India","23.665798,86.431663"
"Bhātpāra Abhaynagar,Bangladesh","23.014724,89.439362"
"Chakradharpur,India","22.67626,85.629064"
"Tāki,India","22.588675,88.93253"
"Ghātsīla,India","22.585308,86.476822"
"Phultala,Bangladesh","22.716731,89.511936"
"Dubrājpur,India","23.790201,87.37648"
"Guskhara,India","23.492764,87.734841"
"Egra,India","21.899473,87.537941"
"Kesabpur,Bangladesh","22.907250019932,89.219541549683"
"Soro,India","21.278511,86.688333"
"Lālgola,India","24.422443,88.252384"
"Sonāmukhi,India","23.305205,87.413357"
"Pandua,India","23.074917,88.286374"
"Nalhāti,India","24.3,87.8166667"
"Jāmtāra,India","23.962999,86.802852"
"Barki Saria,India","24.175426,85.890774"
"Jaleshwar,India","21.801761,87.222497"
"Kuchaiburi,India","22.266747,86.173849"
"Balarāmpur,India","23.097143,86.222919"
"Raghunathpur,India","23.538777,86.673499"
"Būndu,India","23.161388,85.589251"
"Āmlāgora,India","22.846164,87.335587"
"Jhalida,India","23.365412,85.975812"
"Mahīshādal,India","22.186161,87.980716"
"Āmta,India","22.583438,88.010394"
"Khātra,India","22.976171,86.85462"
"Kenda,India","23.1959,86.51499"
"Gurdaha,India","22.7347222,88.7594444"
"Muragācha,India","23.53631,88.39425"
"Debīpur,India","24.250293,88.618237"
"Karīmpur,India","23.975938,88.619173"
"Chāmpua,India","22.067342,85.664631"
"Dhanwār,India","24.410985,85.981886"
"Jagannāthpur,India","22.221723,85.638009"
"Hesla,India","24.063181,85.879155"
"Topchānchi,India","23.903812,86.197916"
"Chāndil,India","22.957448,86.053307"
"Daitari,India","21.1,85.75"
"Digha,India","21.627761,87.519651"
"Nowlamary,Bangladesh","23.673462,88.988854"
"Manoharpur,Bangladesh","23.797759,89.18974"
"Kasba Nārāyangarh,India","22.155915,87.388181"
"Bhadrakhāli,Bangladesh","22.438811,89.042209"
"Kumrābād,India","24.179004,87.27124"
"Āmlai,Bangladesh","22.956337,88.922886"
"Sonāpukurpār,Bangladesh","23.5333333,89.5"
"Kodālia,Bangladesh","23.264887,89.237351"
"Matkumbera,India","22.672708,86.110608"
"Aliārpur,Bangladesh","23.569745,88.976042"
"Sātmorak,Bangladesh","22.56971,89.243418"
"Munda,Bangladesh","23.879762,88.799776"
"Palāspāl,India","21.218964,85.769938"
"Srifaltala,Bangladesh","22.349798,89.06938"
"Kumarirāni,Bangladesh","23.705127,89.383877"
"Sūra,Bangladesh","23.138187,88.960183"
"Tulsipāra,Bangladesh","23.311184,88.844293"
"Kalabagi,Bangladesh","22.41369,89.454606"
"Saktipur,India","23.858415,88.195839"
"Suliapādā,India","22.02799,86.942734"
"Chitla,Bangladesh","23.786032,88.720616"
"Rājāluka,India","22.163408,86.634272"
"Mandirtala,India","21.8022222,88.1005556"
"Bihār,Bangladesh","24.389253,89.000653"
"Uchalon,India","23.035919,87.774853"
"Khaira,India","25.859231,84.756778"
"Khanatapāda,India","21.401727,86.806834"
"Smgrhātali,Bangladesh","22.21124,89.139707"
"Raniar,India","22.65125,87.462243"
"Nurnagar,Bangladesh","22.830266,89.544934"
"Sugrai,India","23.150657,87.807632"
"Gokalpur,India","22.4658333,88.6444444"
"Dāghipāra,Bangladesh","24.228795,88.983717"
"Porādiha,India","21.558664,86.435501"
"Jonkula,Bangladesh","23.892028,89.436736"
"Beliāberā,India","22.272074,86.954139"
"Dublāberā,India","22.49215,86.289285"
"Kundali,India","21.59599,87.11901"
"Kendumundi,India","21.682935,86.107151"
"Hura,India","23.30337,86.657166"
"Fulbāri,Bangladesh","23.352313,89.545364"
"Bāgpāra,Bangladesh","23.988353,89.511496"
"Baincha,India","20.925635,86.899792"
"Gaurīnagar,Bangladesh","23.684208,88.603225"
"Purāsh,India","22.6766667,88.0497222"
"Kashipur,India","29.213985,78.956932"
"Chaulia,India","21.939032,87.294157"
"Karbindha,India","24.427653,87.311774"
"Bodo Rāruān,India","21.959417,85.861691"
"Jiragambhira,India","21.150096,86.427588"
"Bāngāla,Bangladesh","24.353968,89.4908"
"Moudh,Bangladesh","24.120311,89.40165"
"Bānkādāha,India","22.979265,87.357866"
"Chitarpur,India","23.574907,85.654768"
"Sonatala,Bangladesh","24.087037,88.74575"
"Fatebar,India","22.446071,87.627276"
"Simulia,India","21.70321,87.15712"
"Bāghmundi,India","23.189816,86.055473"
"Chahalā,India","21.985375,86.291795"
"Bānskupi,India","24.175645,86.675926"
"Khejuri,India","21.805042,86.303856"
"Sukinda,India","20.971896,85.912488"
"Sāgardānri,Bangladesh","22.812978,89.162522"
"Siliguri,India","26.710035,88.428512"
"Bhāgalpur,India","25.244462,86.971832"
"Rangpur,Bangladesh","25.746641,89.251662"
"Darbhanga,India","26.152155,85.897069"
"Bogra,Bangladesh","24.850978,89.371075"
"Dinājpur,Bangladesh","25.627449,88.637791"
"Munger,India","25.375562,86.47352"
"Saidpur,Bangladesh","25.777691845546,88.891689777374"
"Purnia,India","25.778954,87.474221"
"Katihar,India","25.538521,87.570443"
"Pār Naogaon,Bangladesh","24.804179,88.948752"
"Birātnagar,Nepal","26.483096036918,87.283372879028"
"Rāiganj,India","25.612809,88.124486"
"Ingrāj Bāzār,India","25.004466,88.145733"
"Jaigaon,India","26.847659581145,89.375581741333"
"Saharsa,India","25.885045,86.594707"
"Nawābganj,Bangladesh","24.59025,88.274443"
"Bālurghāt,India","25.220988,88.777317"
"Darjeeling,India","27.0333333,88.2666667"
"Dharān Bāzār,Nepal","26.812479,87.283551"
"Jalpāiguri,India","26.5166667,88.7333333"
"Begusarai,India","25.418528,86.133895"
"Sāhibganj,India","25.242371,87.649083"
"Kishanganj,India","26.102823,87.952047"
"Janakpur,Nepal","26.718284,85.906456"
"Luckeesarai,India","25.176497,86.094701"
"Jangipur,India","24.470006,88.07659"
"Koch Bihār,India","26.325388,89.445084"
"Jamūi,India","24.925888,86.225737"
"Dhulian,India","24.6833333,87.9666667"
"Joypur Hāt,Bangladesh","25.101471,89.02734"
"Madhubani,India","27.000132,84.10396"
"Thākurgaon,Bangladesh","26.030969,88.46989"
"Arāria,India","26.148451,87.514041"
"Goyerkāta,India","26.699842347159,89.025650024414"
"Gangarampur,India","25.401377,88.52978"
"Lalmanirhat,Bangladesh","25.917194,89.445946"
"Supaul,India","26.115033,86.595266"
"Samastīpur,India","25.860773,85.789706"
"Islāmpur,India","26.265414,88.189823"
"Khagaria,India","25.510493,86.476274"
"Bārh,India","25.484383,85.710266"
"Panchagarh,Bangladesh","26.333381,88.557774"
"Ithari,Nepal","26.6666667,87.2833333"
"Kārsiyāng,India","26.882511,88.27729"
"Teghra,India","25.491088,85.941662"
"Forbesganj,India","26.298573,87.267096"
"Goddā,India","24.823792,87.212849"
"Barhiya,India","25.28814,86.020554"
"Dīnhāta,India","26.135257,89.461293"
"Naugachhia,India","25.387065,87.09856"
"Dhupgāri,India","26.589038,89.00732"
"Bānka,India","24.880912,86.922572"
"Jhā Jhā,India","24.77418,86.38005"
"Wāris Alīganj,India","25.017198,85.640475"
"Pīrgaaj,Bangladesh","25.855871,88.359426"
"Rājbirāj,Nepal","26.5333333,86.75"
"Bihārīganj,India","25.734145,86.988371"
"Badarganj,Bangladesh","25.674188,89.05377"
"Dhankutā,Nepal","26.9833333,87.3333333"
"Lahān,Nepal","26.729584,86.495152"
"Jhanjhārpur,India","26.26467,86.279925"
"Rusera,India","25.753554,86.025974"
"Kasba,India","25.856428,87.538359"
"Banmankhi,India","25.886668,87.194909"
"Sirāhā,Nepal","26.654109,86.208704"
"Manihāri,India","25.338909,87.61998"
"Jaleswar,Nepal","26.647113,85.800806"
"Chhātāpur,India","26.222677,87.003456"
"Amarpur,India","25.039667,86.902473"
"Farakka,India","24.8166667,87.9"
"Dalsingh Sarai,India","25.667953,85.836358"
"Malangwa,Nepal","26.856787,85.558106"
"Bhadrapur,Nepal","26.54404,88.094359"
"Kodarma,India","24.46802,85.593426"
"Ilām,Nepal","26.909431,87.928242"
"Jasidih,India","24.513792,86.645757"
"Thākurganj,India","26.427423,88.131123"
"Samtse,Bhutan","26.899032,89.099507"
"Dalkola,India","25.875765,87.840094"
"Pupri,India","26.470786,85.70311"
"Mohiuddinnagar,India","25.573415,85.673404"
"Bariārpur,India","25.288477,86.575781"
"Tsimasham,Bhutan","27.098903,89.536042"
"Odlābāri,India","26.836439,88.629429"
"Daulatpur,India","25.326052,88.329887"
"Singtām,India","27.232745,88.499905"
"Jorethang,India","27.106962,88.323324"
"Bhojpur,Nepal","27.935647,81.775548"
"Daphu,Bhutan","26.9666667,89.3833333"
"Kukurwa,Nepal","26.844953106,85.9802255492"
"Uttargrām,Bangladesh","24.885754,88.781638"
"Bāzedhanesawar,Bangladesh","24.659458,88.887949"
"Bāgra,Bangladesh","25.534556,88.948252"
"Paschim Saidpur,Bangladesh","24.997123,89.211194"
"Tuwakhola,Nepal","27.041723375,86.7316467309"
"Hozrapukur,Bangladesh","24.977188,88.60073"
"Dhemdalu,Nepal","27.2419297925,86.5205845703"
"Majhbari,Nepal","26.7611054111,87.8798201873"
"Dundia,Bangladesh","25.169867,89.468901"
"Khangre,Nepal","27.2215141551,85.8023774944"
"Rādhikāpur,Bangladesh","25.934554,88.333996"
"Maini,Nepal","26.8921376528,86.414105704"
"Dhakalgaun,Nepal","27.0774432804,87.5084291564"
"Phalante,Nepal","27.1688651955,87.6621442053"
"Latan,Bangladesh","25.95334,88.658243"
"Terōil,Bangladesh","25.204454,89.199422"
"Adairpara,Bangladesh","24.444254,88.44288"
"Ghagoa,Bangladesh","25.607663,89.509236"
"Ramnagar,Nepal","26.929223938,85.8152281275"
"Maichok,Nepal","26.6582122662,87.869929499"
"Pāik Pāthālia,Bangladesh","24.6833333,89.4333333"
"Bhelakopa,Bangladesh","25.827115,89.43659"
"Madhubanpur,Bangladesh","25.859471,88.732304"
"Buzruk Ruhea,Bangladesh","25.378615,89.437087"
"Daman,Nepal","26.9966713669,86.2135696573"
"Ahale,Nepal","27.1162861995,86.0826566764"
"Bangrām,Bangladesh","25.094723,88.611577"
"Raula,Nepal","26.9122473179,87.2643100038"
"Mandirtol,Nepal","26.5716978852,87.4404682949"
"Pāmuli,Bangladesh","26.139905,88.674556"
"Malbase,Nepal","26.8919789737,87.5661420402"
"Jaguwa,Nepal","26.4018724509,87.3567166472"
"Labatoliya,Nepal","26.6309111583,86.9325580149"
"Arantar,Nepal","26.8826009018,86.834178055"
"Bisupāra,Bangladesh","24.54279,88.832901"
"Chengan,Bangladesh","25.723213,88.469751"
"Chheri,Nepal","26.9553873022,86.7889986454"
"Sālmāri,India","25.618097,87.839671"
"Katahare,Nepal","27.2504518761,87.1492775421"
"Ludin,Nepal","27.1559146075,87.9295169534"
"Hāsim,Bangladesh","25.68717,89.495633"
"Gorak Mondal,Bangladesh","25.991213,89.505515"
"Bhulke,Nepal","26.8141322442,86.3924170973"
"Khoksa,Bangladesh","24.452233,88.875563"
"Bandoil,Bangladesh","24.786265,88.491051"
"Bhatchhala,Bangladesh","25.286911,89.198539"
"Koiritol,Nepal","27.0131135162,85.6709990447"
"Raiganj,Bangladesh","24.507345,89.527383"
"Gahate,Nepal","27.1883652166,86.2126621009"
"Lalichok,Nepal","27.0056238054,87.8571562958"
"Sallegaun,Nepal","27.1141948297,86.440885934"
"Chisapani,Nepal","27.0923225889,85.7145083557"
"Mudhe,Nepal","27.2560389009,86.7874604688"
"Laksmipur,Nepal","26.4612109822,86.8668531117"
"Khānpur,Bangladesh","25.523427,88.622507"
"Fatehpur,Nepal","26.72724,86.937033"
"Bātāla,Bangladesh","24.761635,88.198415"
"Sakhuwa,Nepal","26.6347133615,86.4987696766"
"Rādhānagar,Bangladesh","24.904461,88.393691"
"Bīl Borin,Bangladesh","24.6833333,88.3166667"
"Dharma,Bangladesh","25.086563,89.407214"
"Katake,Nepal","27.2634424288,87.5124978238"
"Sāhābāj,Bangladesh","25.509143,89.451374"
"Maksu,Nepal","27.0898394847,87.1695733139"
"Chilahāti,Bangladesh","26.241688,88.802611"
"Olang,Nepal","28.1364494103,84.6750315667"
"Gahirung,Nepal","26.8031417439,86.6845869434"
"Khayerpara,Bangladesh","25.402088,88.967683"
"Kamāt Changrabāndha,Bangladesh","26.421991,88.947312"
"Bobek,Nepal","27.018525353,87.0332022114"
"Rāmgarh,India","24.56449,87.250645"
"Bāshdaha,Bangladesh","26.040758,88.882854"
"Anna,Nepal","26.9952734077,87.5924916743"
"Galgaliya,Nepal","26.491498914,87.6785240646"
"Rājgān,India","24.54557,87.867578"
"Kaua Kol,India","24.844519,85.886287"
"Sisne,Nepal","27.2577495457,87.939948702"
"Nautāra,Bangladesh","26.139429,88.992895"
"Borio,India","25.035947,87.589692"
"Dhaneshari,India","25.995253,87.128844"
"Jaipura,India","24.586958,86.860531"
"Ninda,Nepal","26.793328473,88.1611891289"
"Gaighāt,India","25.040818,86.493449"
"Tisri,India","24.575477,86.064646"
"Beldaur,India","25.594653,86.790872"
"Saksohāra,India","25.36354,85.70144"
"Dūmte,Bhutan","27.045532,89.182751"
"Pathari,Nepal","26.658616123,87.5673462685"
"Kanpur,India","26.447802,80.346273"
"Lucknow,India","26.839281,80.923133"
"Agra,India","27.1833333,78.0166667"
"Gwalior,India","26.229825,78.173369"
"Jhānsi,India","25.454464,78.582208"
"Firozabad,India","27.149408,78.401802"
"Satna,India","24.582245,80.824803"
"Etāwah,India","26.777797,79.021592"
"Rewa,India","24.533985,81.295955"
"Rāe Bareli,India","26.219103,81.244993"
"Bhind,India","26.566715,78.787278"
"Fatehpur,India","27.172533,81.21077"
"Shivpurī,India","25.423483,77.660667"
"Unnāo,India","26.547061,80.487806"
"Orai,India","25.990738,79.453154"
"Bānda,India","25.475338,80.335803"
"Morena,India","26.502855,78.001632"
"Lalitpur,India","24.690545,78.418882"
"Chhatarpur,India","24.914225,79.587805"
"Dhaulpur,India","26.692864363817,77.879676818848"
"Mainpuri,India","27.23,79.028816"
"Datia,India","25.67249,78.458149"
"Mahoba,India","25.292219,79.872312"
"Nawābganj,India","28.539659,79.632818"
"Kannauj,India","27.0546,79.922"
"Tīkamgarh,India","24.744131,78.831408"
"Auraiya,India","26.463134,79.51167"
"Ashoknagar,India","24.574676,77.730382"
"Rāth,India","25.594533,79.566319"
"Dabra,India","25.896958,78.329378"
"Chhibrāmau,India","27.14753,79.499792"
"Bāri,India","26.646608,77.616345"
"Jālaun,India","26.1451,79.3366"
"Sandīla,India","27.070424,80.514603"
"Konch,India","25.994508,79.151273"
"Gohad,India","26.424161,78.440935"
"Panna,India","24.721473,80.188085"
"Atarra Buzurg,India","25.285703,80.571442"
"Kālpi,India","26.1166667,79.7333333"
"Ambāh,India","26.70531,78.227122"
"Ghātampur,India","26.152717,80.168034"
"Maudaha,India","25.68355,80.113705"
"Bāngarmau,India","26.891197,80.211489"
"Bindki,India","26.036132,80.576174"
"Babīna,India","25.242152,78.466032"
"Hamīrpur,India","25.955818,80.148818"
"Zaidpur,India","26.829635,81.329784"
"Lahār,India","26.194008,78.941371"
"Jagdīshpur,India","26.749674,80.545096"
"Shamsābād,India","27.016276,78.123481"
"Rājākhera,India","26.898023,78.171004"
"Fatehpur Sikri,India","27.0937,77.660027"
"Sirsāganj,India","27.057449,78.686647"
"Bāmor Kalān,India","24.893088,78.151302"
"Jaswantnagar,India","26.882335,78.901868"
"Bilgrām,India","27.175026,80.031716"
"Bidhūna,India","26.801718,79.508289"
"Jora,India","26.34209,77.809201"
"Karera,India","25.461652,78.139411"
"Jāis,India","26.264587,81.547796"
"Gursarāi,India","25.616765,79.180527"
"Kunda,India","25.71935,81.512675"
"Charkhāri,India","25.401386,79.750446"
"Jhinjhak,India","26.560037,79.73442"
"Bhānder,India","25.735331,78.745756"
"Purwa,India","26.458112,80.774159"
"Sidhaulī,India","27.26761,80.810293"
"Nāgod,India","24.570502,80.586547"
"Samthar,India","25.843309,78.905819"
"Achhnera,India","27.1787,77.757388"
"Bijāwar,India","24.626249,79.49243"
"Mau,India","25.941667,83.561111"
"Akbarpur,India","26.430431,82.536734"
"Rānīpur,India","25.251015,79.062311"
"Daboh,India","26.002391,78.876584"
"Bhitarwār,India","25.792389,78.110774"
"Jarwal,India","27.164415,81.539932"
"Sarāi Ākil,India","25.378408,81.511298"
"Indergarh,India","26.935206,79.671196"
"Kolāras,India","25.219421,77.61179"
"Jatāra,India","25.009208,79.047775"
"Narwar,India","25.643903,77.9129"
"Manjhanpur,India","25.530566,81.373713"
"Malīhābād,India","26.922234,80.710778"
"Kamalganj,India","27.262501,79.631542"
"Rura,India","26.486998,79.902426"
"Mihona,India","26.283795,78.980157"
"Baberu,India","25.547112,80.704425"
"Bah,India","26.869911,78.594434"
"Naraini,India","25.190325,80.474995"
"Ajaigarh,India","24.897468,80.258941"
"Mānikpur,India","25.063459,81.098254"
"Karārī,India","25.452414,81.426752"
"Dewa,India","27.035838,81.167079"
"Salon,India","26.027521,81.454876"
"Bakewar,India","26.661995,79.177192"
"Chīrgaon,India","25.572665,78.814251"
"Simaria,India","24.795318,81.151531"
"Rājāpur,India","25.387273,81.151372"
"Kharelā,India","25.542137,79.812965"
"Tālbahat,India","25.042222,78.433638"
"Kadaura,India","25.985365,79.838424"
"Tekanpur,India","25.994009,78.283222"
"Sirāthū,India","25.64362,81.318835"
"Khargāpur,India","24.823,79.144"
"Khāga,India","25.771654,81.101434"
"Khailār,India","25.341091,78.53184"
"Gurh,India","24.502023,81.500949"
"Bachhrāwān,India","26.470817,81.115282"
"Mangawān,India","24.667674,81.546732"
"Sikandra,India","26.366803,79.630424"
"Saurikh,India","27.029652,79.487854"
"Dalmau,India","26.068714,81.032402"
"Chandla,India","25.07199,80.193412"
"Badarwās,India","24.976131,77.566447"
"Bisenda Buzurg,India","25.403623,80.619059"
"Bahua,India","25.839169,80.622444"
"Tori Fatehpur,India","25.452432,79.112712"
"Jagnair,India","26.862429,77.602391"
"Jasrāna,India","27.235658,78.652562"
"Nagrām,India","26.618999,81.140783"
"Pāli,India","24.492772,78.41654"
"Mahroni,India","24.587003,78.727965"
"Kotra,India","25.807659,79.308823"
"Sarīla,India","25.775794,79.675346"
"Kothi,India","24.751359,80.774704"
"Nadīgaon,India","26.108018,79.022751"
"Gohānd,India","25.698947,79.545643"
"Kotār,India","24.6978,80.981203"
"Itaunja,India","27.083431,80.89818"
"Bhagwantnagar,India","26.223898,80.756366"
"Mahārājganj,India","26.110664,84.503817"
"Bīghāpur Khurd,India","26.347341,80.65698"
"Sārh,India","26.234243,80.346054"
"Mai,India","26.384863,79.188438"
"Rājpur,India","24.96965,78.352166"
"Nandanpur,India","24.909339,78.769586"
"Sītpura,India","24.768927,78.394272"
"Damāpur,India","26.710362,79.841277"
"Luktara,India","25.610775,80.321923"
"Ritaur,India","26.46066,79.189079"
"Khanjora,India","24.82496,78.7547"
"Jagatpur Ahīr,India","26.23757,79.40746"
"Pagāro,India","24.762678,79.494381"
"Harīnaga,India","24.554734,79.164156"
"Chirpura,India","25.093613,78.805671"
"Dakhnesar,India","25.718668,79.232596"
"Sarha,India","25.097642,80.541805"
"Muhabbatpur,India","26.960312,79.016151"
"Lilwa,India","25.373868,79.320281"
"Atrauli,India","28.029637,78.285715"
"Gonour,India","24.457677,80.249159"
"Kunwarpur,India","26.314852,78.18874"
"Sāraskheri,India","24.736078,77.791918"
"Shāhgarh,India","24.472602,79.527397"
"Thuna,India","24.5,81.0166667"
"Jyunri,India","26.638371,79.829459"
"Ajgain,India","26.619277,80.62869"
"Barohar,India","24.646623,79.178829"
"Imlāna,India","24.717783,79.182736"
"Jyār,India","25.234233,78.74921"
"Pārsol,India","24.887063,77.778141"
"Lahūra,India","26.066901,79.45962"
"Pachāra,India","25.280245,79.498048"
"Darona,India","24.510609,78.739407"
"Ghūra,India","24.767941,79.852808"
"Chauka,India","24.8358,79.512503"
"Midora,India","24.993181,78.772399"
"Kemwārī,India","25.956024,77.859797"
"Mustafābād,India","25.906896,81.293089"
"Tarahti,India","25.012687,80.483145"
"Sati,India","24.995589,79.474079"
"Ghātīgaon,India","26.053982,77.937692"
"Chirūla,India","25.577288,78.482767"
"Karai,India","25.884229,77.893651"
"Gajna,India","24.815974,80.473732"
"Bachhon,India","24.986079,80.101612"
"Sonī,India","26.522237,78.556758"
"Bālāmau,India","27.1666667,80.35"
"Lugāsī,India","25.076951,79.56928"
"Alopa,India","24.919632,79.149717"
"Gajner,India","26.285386,80.062311"
"Parorā,India","25.159727,77.944603"
"Sarendhi,India","26.937674,77.681516"
"Shiugarh,India","26.542042,81.250546"
"Sareni,India","26.149129,80.828314"
"Karwi,India","25.214733,80.916454"
"Bhilwāl,India","26.705057,81.259655"
"Pichor,India","25.176082,78.190365"
"Mahāsā,India","25.003922,77.966437"
"Patna,India","25.60222,85.119356"
"Varanasi,India","25.316682,83.010415"
"Allahabad,India","25.448937,81.833285"
"Gorakhpur,India","26.754792,83.372353"
"Gaya,India","24.796858,85.003852"
"Muzaffarpur,India","26.122593,85.390553"
"Bihār Sharīf,India","25.197294,85.523736"
"Arrah,India","25.563139,84.671368"
